,cycle,time_start,time_end,u,v,w,B_u,dB_u,B_v,dB_v,B_w,dB_w,x,y,z,B_x,B_y,B_z
95,95,1565406625,1565406629,-27.95,42.37,167.25,0.259608,0.000970036,2.15474,0.000482701,0.50707,0.002491917,38.2,-167.25,41.12,-0.259608,-0.50707,2.15474
110,110,1565407032,1565407036,-67.95,42.37,167.25,0.196918,0.005587868,2.16418,0.000501996,0.491976,0.0011352,78.2,-167.25,41.12,-0.196918,-0.491976,2.16418
140,140,1565407637,1565407641,-67.95,42.37,207.25,0.202898,0.000148054,2.25552,0.000164317,0.506178,0.000525899,78.2,-207.25,41.12,-0.202898,-0.506178,2.25552
185,185,1565408848,1565408852,-27.95,42.37,207.25,0.263302,0.000111445,2.22748,8.37E-05,0.51605,0.000332415,38.2,-207.25,41.12,-0.263302,-0.51605,2.22748
190,190,1565408977,1565408981,-7.95,42.37,207.25,0.27134,0.001318294,2.2122,0.000158114,0.547726,0.000257255,18.2,-207.25,41.12,-0.27134,-0.547726,2.2122
195,195,1565409119,1565409123,12.05,42.37,207.25,0.32075,0.000582151,2.20354,8.94E-05,0.550178,0.00071918,-1.8,-207.25,41.12,-0.32075,-0.550178,2.20354
145,145,1565407721,1565407725,-67.95,42.37,247.25,0.211514,0.001311652,2.36848,0.000148324,0.45623,0.000908598,78.2,-247.25,41.12,-0.211514,-0.45623,2.36848
170,170,1565408470,1565408474,12.05,42.37,247.25,0.353926,0.000114368,2.271,0,0.581506,8.74E-05,-1.8,-247.25,41.12,-0.353926,-0.581506,2.271
175,175,1565408558,1565408562,-7.95,42.37,247.25,0.304742,0.0009821,2.29058,0.000130384,0.544802,0.000234776,18.2,-247.25,41.12,-0.304742,-0.544802,2.29058
180,180,1565408717,1565408721,-27.95,42.37,247.25,0.281028,0.000277435,2.31244,0.000482701,0.518552,0.002186063,38.2,-247.25,41.12,-0.281028,-0.518552,2.31244
150,150,1565407858,1565407862,-67.95,42.37,287.25,0.258168,0.002144404,2.47684,0.000378153,0.414618,0.001461291,78.2,-287.25,41.12,-0.258168,-0.414618,2.47684
155,155,1565408066,1565408070,-27.95,42.37,287.25,0.330798,0.000331466,2.4008,0.000158114,0.542014,0.000223002,38.2,-287.25,41.12,-0.330798,-0.542014,2.4008
160,160,1565408208,1565408212,-7.95,42.37,287.25,0.383828,0.000993313,2.3749,0.000122474,0.588464,0.000387853,18.2,-287.25,41.12,-0.383828,-0.588464,2.3749
165,165,1565408329,1565408333,12.05,42.37,287.25,0.464496,0.000274736,2.35576,5.48E-05,0.650348,0.000217991,-1.8,-287.25,41.12,-0.464496,-0.650348,2.35576
30,30,1565405254,1565405258,12.05,42.37,327.25,0.74072,0.000407247,2.49384,5.48E-05,0.699156,0.000379974,-1.8,-327.25,41.12,-0.74072,-0.699156,2.49384
35,35,1565405380,1565405384,-7.95,42.37,327.25,0.582644,0.000904174,2.4902,0.000212132,0.53943,0.000109545,18.2,-327.25,41.12,-0.582644,-0.53943,2.4902
100,100,1565406797,1565406801,-27.95,42.37,327.25,0.467294,0.002504542,2.51038,0.000258844,0.447398,0.002140974,38.2,-327.25,41.12,-0.467294,-0.447398,2.51038
105,105,1565406919,1565406923,-67.95,42.37,327.25,0.292068,6.34E-05,2.5938,0,0.340452,0.00023467,78.2,-327.25,41.12,-0.292068,-0.340452,2.5938
1,1,1565404640,1565404644,12.05,82.37,-32.75,0.371318,0.000262431,2.09416,5.48E-05,0.35457,0.000824803,-1.8,32.75,81.12,-0.371318,-0.35457,2.09416
66,66,1565406056,1565406060,-7.95,82.37,-32.75,0.334766,0.000713674,2.04644,0.000207364,0.362304,0.000671439,18.2,32.75,81.12,-0.334766,-0.362304,2.04644
71,71,1565406154,1565406158,-27.95,82.37,-32.75,0.31697,0.002321874,1.9956,7.07E-05,0.375022,0.00273167,38.2,32.75,81.12,-0.31697,-0.375022,1.9956
136,136,1565407484,1565407488,-67.95,82.37,-32.75,0.262054,0.001345708,1.90468,0.000130384,0.397944,0.001205355,78.2,32.75,81.12,-0.262054,-0.397944,1.90468
6,6,1565404742,1565404746,12.05,82.37,7.25,0.337424,0.000671885,2.1133,0.000173205,0.37434,0.000693866,-1.8,-7.25,81.12,-0.337424,-0.37434,2.1133
61,61,1565405974,1565405978,-7.95,82.37,7.25,0.299996,0.00091574,2.07438,0.000130384,0.369248,0.000197408,18.2,-7.25,81.12,-0.299996,-0.369248,2.07438
76,76,1565406240,1565406244,-27.95,82.37,7.25,0.278548,0.001044639,2.03028,0.000109545,0.390138,0.000175414,38.2,-7.25,81.12,-0.278548,-0.390138,2.03028
131,131,1565407336,1565407340,-67.95,82.37,7.25,0.241788,0.001993382,1.95026,0.000151658,0.410434,0.001376183,78.2,-7.25,81.12,-0.241788,-0.410434,1.95026
11,11,1565404815,1565404819,12.05,82.37,47.25,0.311802,0.000507464,2.1381,0.00087178,0.393636,0.005171458,-1.8,-47.25,81.12,-0.311802,-0.393636,2.1381
56,56,1565405886,1565405890,-7.95,82.37,47.25,0.279222,0.000686527,2.10518,0.000148324,0.385776,0.000390487,18.2,-47.25,81.12,-0.279222,-0.385776,2.10518
