u_pos v_pos w_pos Bu_opera Bv_opera Bw_opera Bumap Bvmap Bwmap
18.2       -7.25      121.12     -0.2572782 -0.5164118 2.07400459 -0.211252  -0.333706  2.12196
18.2       -7.25      161.12     -0.1820122 -0.5886132 2.06814977 -0.106412  -0.297528  2.15962
18.2       -7.25      201.12     -0.096601  -0.6734418 2.06293101 -0.0106136 -0.255132  2.18602
18.2       32.75      41.12      -0.3647806 -0.397413  2.04480277 -0.438506  -0.398534  1.98996
18.2       32.75      81.12      -0.359345  -0.4456667 2.02798977 -0.334766  -0.362304  2.04644
18.2       32.75      121.12     -0.3101028 -0.5019326 2.00923017 -0.23742   -0.32445   2.091
18.2       32.75      161.12     -0.2294706 -0.5677141 1.99285369 -0.1274612 -0.288878  2.12558
18.2       32.75      201.12     -0.1281933 -0.6387666 1.98419257 -0.0219436 -0.246878  2.15006
38.2       32.75      41.12      -0.3646098 -0.4313263 2.03538476 -0.413772  -0.413796  1.94372
38.2       32.75      81.12      -0.3593369 -0.4794041 2.041688   -0.31697   -0.375022  1.9956
38.2       32.75      121.12     -0.3123307 -0.5353896 2.04098967 -0.228934  -0.330034  2.0383
38.2       32.75      161.12     -0.2362498 -0.5950626 2.03625858 -0.115323  -0.304254  2.07184
38.2       32.75      201.12     -0.1446197 -0.6586315 2.03150881 -0.0197396 -0.257528  2.0971
38.2       -7.25      41.12      -0.307916  -0.4234154 2.08273226 -0.362774  -0.441638  1.97194
38.2       -7.25      81.12      -0.2993197 -0.4758199 2.09835528 -0.278548  -0.390138  2.03028
38.2       -7.25      121.12     -0.2565724 -0.5365257 2.10320549 -0.194014  -0.35232   2.07552
38.2       -7.25      161.12     -0.1906813 -0.6069501 2.10863718 -0.098453  -0.312456  2.11138
38.2       -7.25      201.12     -0.1093636 -0.6840759 2.10508938 -8.497E-03 -0.267764  2.13788
38.2       -47.25     41.12      -0.2703785 -0.4053589 2.1282205  -0.325146  -0.45227   2.00546
38.2       -47.25     81.12      -0.2611992 -0.4592475 2.15491834 -0.255696  -0.408118  2.0672
38.2       -47.25     121.12     -0.2210864 -0.5279369 2.17461117 -0.181374  -0.355736  2.1176
38.2       -47.25     161.12     -0.1611381 -0.6078363 2.18621251 -0.0950968 -0.317064  2.1543
38.2       -47.25     201.12     -0.0956745 -0.6986133 2.19278911 -0.0105196 -0.269762  2.18086
38.2       -87.25     41.12      -0.2509375 -0.3674596 2.17668279 -0.292652  -0.461734  2.04442
38.2       -87.25     81.12      -0.2405294 -0.4266512 2.22054392 -0.241076  -0.408372  2.1109
38.2       -87.25     121.12     -0.203662  -0.5000871 2.25309022 -0.179178  -0.358782  2.1612
38.2       -87.25     161.12     -0.1474994 -0.5915502 2.27747022 -0.0956526 -0.311818  2.19864
38.2       -87.25     201.12     -0.0932758 -0.696326  2.29803122 -0.017424  -0.26273   2.22352
38.2       -127.25    41.12      -0.2468961 -0.3048149 2.22484159 -0.27156   -0.482134  2.09378
38.2       -127.25    81.12      -0.2340395 -0.3646047 2.28907274 -0.231476  -0.42376   2.16198
38.2       -127.25    121.12     -0.1965801 -0.4458135 2.34033436 -0.181116  -0.366254  2.21266
38.2       -127.25    161.12     -0.1505004 -0.5469115 2.38216118 -0.1097244 -0.3112    2.24912
38.2       -127.25    201.12     -0.1084714 -0.6711725 2.41815903 -0.0363866 -0.259608  2.27162
38.2       -167.25    41.12      -0.2559155 -0.2079485 2.27501722 -0.259608  -0.50707   2.15474
38.2       -167.25    81.12      -0.2409244 -0.2681032 2.36355991 -0.240632  -0.43387   2.22296
38.2       -167.25    121.12     -0.2050427 -0.3573169 2.43729789 -0.204448  -0.363076  2.27262
38.2       -167.25    161.12     -0.1659735 -0.4724898 2.50080713 -0.130408  -0.304436  2.30588
38.2       -167.25    201.12     -0.1320559 -0.6090076 2.55842495 -0.05485   -0.241894  2.32348
38.2       -327.25    41.12      -0.3860939 0.67173916 2.49332507 -0.467294  -0.447398  2.51038
38.2       -327.25    81.12      -0.35073   0.59325483 2.70993635 -0.476618  -0.300022  2.6179
38.2       -327.25    121.12     -0.3170221 0.47388686 2.91698085 -0.421928  -0.1613366 2.63472
38.2       -327.25    161.12     -0.2894667 0.30998156 3.10919864 -0.332884  -0.052218  2.5987
38.2       -327.25    201.12     -0.2925255 0.11353942 3.30062313 -0.241568  0.0146004  2.54424
78.2       -327.25    41.12      -0.2777203 0.70012973 2.53281955 -0.292068  -0.340452  2.5938
78.2       -327.25    81.12      -0.2243348 0.61584777 2.76181432 -0.338648  -0.214316  2.60524
78.2       -327.25    121.12     -0.1759078 0.49379777 2.95474996 -0.319646  -0.0942914 2.5775
78.2       -327.25    161.12     -0.1471047 0.34219039 3.12537726 -0.259054  -1.822E-03 2.52012
78.2       -327.25    201.12     -0.1519656 0.1444838  3.27832218 -0.181112  0.0563688  2.45722
78.2       -167.25    41.12      -0.2450824 -0.1979855 2.28932322 -0.196918  -0.491976  2.16418
78.2       -167.25    81.12      -0.2102389 -0.2664405 2.39601684 -0.184028  -0.402622  2.19966
78.2       -167.25    121.12     -0.1637579 -0.3542988 2.47955178 -0.1505292 -0.329774  2.22586
78.2       -167.25    161.12     -0.1228643 -0.4618684 2.53696566 -0.0902652 -0.267926  2.24228
78.2       -167.25    201.12     -0.0927693 -0.5889049 2.5808637  -0.0216986 -0.207346  2.2482
78.2       -127.25    41.12      -0.2476571 -0.3076114 2.23281137 -0.234324  -0.50072   2.07486
78.2       -127.25    81.12      -0.2183138 -0.3693497 2.31895988 -0.19585   -0.418894  2.12116
78.2       -127.25    121.12     -0.1732198 -0.4493554 2.38317051 -0.1466014 -0.36514   2.15444
78.2       -127.25    161.12     -0.125249  -0.5463234 2.42727535 -0.085281  -0.301244  2.18014
78.2       -127.25    201.12     -0.08676   -0.6610024 2.4519887  -0.0132192 -0.24415   2.19478
78.2       -87.25     41.12      -0.2612196 -0.3837376 2.17898661 -0.241726  -0.475764  2.00956
78.2       -87.25     81.12      -0.2367968 -0.4443769 2.25046362 -0.19114   -0.407368  2.0586
78.2       -87.25     121.12     -0.1905985 -0.5141684 2.30099639 -0.1344252 -0.33976   2.0984
78.2       -87.25     161.12     -0.1376705 -0.6035175 2.32896221 -0.0592562 -0.285298  2.12666
78.2       -87.25     201.12     -0.0896711 -0.6934081 2.34498398 0.0102514  -0.23064   2.14464
78.2       -47.25     41.12      -0.289838  -0.4362545 2.12449559 -0.278098  -0.464396  1.95104
78.2       -47.25     81.12      -0.2663366 -0.4924687 2.18597952 -0.213512  -0.405832  2.00114
78.2       -47.25     121.12     -0.2188919 -0.5573965 2.22611874 -0.1448104 -0.355554  2.04182
78.2       -47.25     161.12     -0.1594234 -0.6313536 2.24653853 -0.0674202 -0.307102  2.07304
78.2       -47.25     201.12     -0.0981229 -0.7118529 2.25231935 0.0120696  -0.256174  2.09564
78.2       -7.25      41.12      -0.3301861 -0.4727369 2.07480828 -0.32443   -0.460574  1.90038
78.2       -7.25      81.12      -0.3082778 -0.5254887 2.12916801 -0.241788  -0.410434  1.95026
78.2       -7.25      121.12     -0.2596396 -0.5844183 2.16208819 -0.167015  -0.354686  1.9932
78.2       -7.25      161.12     -0.1927862 -0.645442  2.17713925 -0.0821936 -0.305736  2.02714
78.2       -7.25      201.12     -0.1233678 -0.7098955 2.17805262 4.9856E-03 -0.253722  2.05238
78.2       32.75      41.12      -0.3895013 -0.5002434 2.02662816 -0.353524  -0.456866  1.85566
78.2       32.75      81.12      -0.368594  -0.5489133 2.07672059 -0.262054  -0.397944  1.90468
78.2       32.75      121.12     -0.3170918 -0.6010384 2.10492866 -0.1700918 -0.350768  1.94558
78.2       32.75      161.12     -0.2446044 -0.6527938 2.1171022  -0.0846974 -0.295932  1.97874
78.2       32.75      201.12     -0.1595651 -0.702261  2.11971277 0.011311   -0.246356  2.00366
78.2       -207.25    41.12      -0.2466902 -0.0476064 2.34532759 -0.202898  -0.506178  2.25552
78.2       -207.25    81.12      -0.2110064 -0.1237681 2.4748525  -0.200034  -0.400902  2.28218
78.2       -207.25    121.12     -0.1652865 -0.2177817 2.580487   -0.1763366 -0.313918  2.29948
78.2       -207.25    161.12     -0.1264707 -0.3352625 2.6665493  -0.1173278 -0.240394  2.30698
78.2       -207.25    201.12     -0.1039009 -0.4771855 2.72523972 -0.048907  -0.1731698 2.30262
78.2       -247.25    41.12      -0.2553245 0.14718887 2.40474511 -0.211514  -0.45623   2.36848
78.2       -247.25    81.12      -0.2153641 0.0641546  2.56124276 -0.228254  -0.347008  2.38092
78.2       -247.25    121.12     -0.168833  -0.0380042 2.69408715 -0.20262   -0.255176  2.38474
78.2       -247.25    161.12     -0.1319898 -0.1684982 2.80210423 -0.152054  -0.1744904 2.3762
78.2       -247.25    201.12     -0.1214951 -0.3280457 2.88652918 -0.0819236 -0.1046534 2.35726
78.2       -287.25    41.12      -0.265699  0.39532593 2.46967833 -0.258168  -0.414618  2.47684
78.2       -287.25    81.12      -0.2174498 0.30583021 2.65991318 -0.289616  -0.303496  2.4838
78.2       -287.25    121.12     -0.1685327 0.19922275 2.82327949 -0.270028  -0.196716  2.4756
78.2       -287.25    161.12     -0.1402697 0.05282906 2.95669618 -0.215234  -0.1012388 2.45014
78.2       -287.25    201.12     -0.1396854 -0.1254175 3.07227295 -0.1474608 -0.0450344 2.41316
38.2       -287.25    41.12      -0.3440495 0.36813291 2.43616052 -0.330798  -0.542014  2.4008
38.2       -287.25    81.12      -0.3142892 0.28843084 2.61721715 -0.352214  -0.427438  2.48782
38.2       -287.25    121.12     -0.2804019 0.18121663 2.78560969 -0.321342  -0.31028   2.52364
38.2       -287.25    161.12     -0.2529432 0.03318072 2.9368352  -0.253874  -0.218724  2.52118
38.2       -287.25    201.12     -0.2465483 -0.1556951 3.08709598 -0.1753148 -0.1402766 2.49784
18.2       -287.25    41.12      -0.388377  0.34233813 2.42723138 -0.383828  -0.588464  2.3749
18.2       -287.25    81.12      -0.363492  0.27293483 2.60219948 -0.38923   -0.468504  2.49876
18.2       -287.25    121.12     -0.3314642 0.158903   2.77125055 -0.349106  -0.3466    2.55138
18.2       -287.25    161.12     -0.3042056 8.352E-03  2.92531486 -0.273564  -0.234058  2.5598
18.2       -287.25    201.12     -0.2885891 -0.1798536 3.08526508 -0.183868  -0.1481418 2.54208
-1.8       -287.25    41.12      -0.4308206 0.30989757 2.42089785 -0.464496  -0.650348  2.35576
-1.8       -287.25    81.12      -0.414425  0.24576783 2.58367848 -0.453974  -0.514014  2.51576
-1.8       -287.25    121.12     -0.3810288 0.13273862 2.75397049 -0.397764  -0.381574  2.5841
-1.8       -287.25    161.12     -0.3467511 -0.0185517 2.91211033 -0.317396  -0.26613   2.60132
-1.8       -287.25    201.12     -0.3259891 -0.212727  3.08445055 -0.227692  -0.180045  2.5907
-1.8       -247.25    41.12      -0.377637  0.08151921 2.37156856 -0.353926  -0.581506  2.271
-1.8       -247.25    81.12      -0.3596431 0.0126523  2.49775478 -0.356528  -0.49627   2.39906
-1.8       -247.25    121.12     -0.3254164 -0.0908937 2.62351888 -0.313334  -0.402352  2.4756
-1.8       -247.25    161.12     -0.2878823 -0.2360415 2.74863158 -0.247948  -0.313152  2.51284
-1.8       -247.25    201.12     -0.255198  -0.4193854 2.87731444 -0.1546718 -0.233738  2.5241
18.2       -247.25    41.12      -0.3382098 0.1021414  2.37473402 -0.304742  -0.544802  2.29058
18.2       -247.25    81.12      -0.3221008 0.03510301 2.51017362 -0.318614  -0.447022  2.39106
18.2       -247.25    121.12     -0.2893955 -0.0682785 2.64263683 -0.288166  -0.35996   2.44876
18.2       -247.25    161.12     -0.2538865 -0.2089209 2.76960743 -0.220328  -0.271882  2.47538
18.2       -247.25    201.12     -0.2331499 -0.3825848 2.88632765 -0.1354684 -0.199522  2.47836
38.2       -247.25    41.12      -0.3077481 0.12219775 2.37831471 -0.281028  -0.518552  2.31244
38.2       -247.25    81.12      -0.2812147 0.05016931 2.5271733  -0.29782   -0.42766   2.38348
38.2       -247.25    121.12     -0.2488932 -0.0541566 2.65676981 -0.267354  -0.338304  2.42514
38.2       -247.25    161.12     -0.2192075 -0.1886857 2.78320827 -0.213898  -0.250622  2.44122
38.2       -247.25    201.12     -0.2046323 -0.3580326 2.89537008 -0.1287476 -0.182792  2.43846
38.2       -207.25    41.12      -0.2783361 -0.0637669 2.32669776 -0.263302  -0.51605   2.22748
38.2       -207.25    81.12      -0.2579899 -0.1307524 2.44251592 -0.26316   -0.428444  2.29724
38.2       -207.25    121.12     -0.2242917 -0.2303336 2.54276067 -0.23264   -0.356308  2.34302
38.2       -207.25    161.12     -0.1903542 -0.3541705 2.63254684 -0.1693288 -0.287764  2.36996
38.2       -207.25    201.12     -0.1641557 -0.5086264 2.71488773 -0.0945264 -0.219572  2.38022
18.2       -207.25    41.12      -0.2992373 -0.0778412 2.32331882 -0.27134   -0.547726  2.2122
18.2       -207.25    81.12      -0.2849287 -0.1435134 2.43108077 -0.26938   -0.476306  2.30262
18.2       -207.25    121.12     -0.2524299 -0.2430808 2.523565   -0.233646  -0.402218  2.3643
18.2       -207.25    161.12     -0.2127114 -0.3701542 2.61275358 -0.1684338 -0.327348  2.40156
18.2       -207.25    201.12     -0.1814611 -0.5312607 2.70625188 -0.0911128 -0.25799   2.41776
-1.8       -207.25    41.12      -0.3270836 -0.1008202 2.32221848 -0.32075   -0.550178  2.20354
-1.8       -207.25    81.12      -0.3153071 -0.1655926 2.41522135 -0.30647   -0.491106  2.31474
-1.8       -207.25    121.12     -0.2772835 -0.260189  2.50293036 -0.26686   -0.420224  2.38996
-1.8       -207.25    161.12     -0.2334709 -0.3918841 2.59709116 -0.18988   -0.34304   2.43854
-1.8       -207.25    201.12     -0.1962365 -0.5527357 2.68743485 -0.1076838 -0.273596  2.46088
